"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1","KRT14",0,3.0488849481439,0.974,0.184,0,0,"KRT14"
"2","TPM2",0,2.93189560906936,0.888,0.134,0,0,"TPM2"
"3","ITGB1",0,3.0384110324921,0.813,0.123,0,0,"ITGB1"
"4","TIMP1",0,3.77135341665178,0.926,0.24,0,0,"TIMP1"
"5","MT2A",0,3.25352517940149,0.928,0.256,0,0,"MT2A"
"6","S100A2",0,4.11170574587794,0.73,0.064,0,0,"S100A2"
"7","NPC2",0,3.02199613755098,0.857,0.203,0,0,"NPC2"
"8","IGFBP2",0,3.13297629870135,0.717,0.085,0,0,"IGFBP2"
"9","VIM",0,2.88257088715914,0.801,0.171,0,0,"VIM"
"10","CALD1",0,2.46479216411331,0.742,0.133,0,0,"CALD1"
"11","SFN",0,3.26305476171926,0.646,0.077,0,0,"SFN"
"12","LGALS1",0,2.27355738794851,0.878,0.315,0,0,"LGALS1"
"13","DST",0,1.68303033755132,0.757,0.215,0,0,"DST"
"14","MYLK",0,1.48966865683501,0.678,0.153,0,0,"MYLK"
"15","MIA",0,3.26798119794631,0.592,0.077,0,0,"MIA"
"16","KRT17",0,1.77188567705121,0.674,0.17,0,0,"KRT17"
"17","ANXA1",0,1.81317956544761,0.709,0.206,0,0,"ANXA1"
"18","S100A11",0,1.57169309439228,0.915,0.419,0,0,"S100A11"
"19","SH3BGRL3",0,1.9566227551365,0.663,0.173,0,0,"SH3BGRL3"
"20","TMSB10",0,1.51042721433343,0.94,0.481,0,0,"TMSB10"
"21","TINAGL1",0,4.11591999247087,0.48,0.029,0,0,"TINAGL1"
"22","AREG",0,2.53849936029256,0.577,0.13,0,0,"AREG"
"23","CTSC",0,4.85041834183044,0.458,0.02,0,0,"CTSC"
"24","DSC3",0,2.87075510918719,0.505,0.07,0,0,"DSC3"
"25","KRT5",0,2.41819297655173,0.542,0.109,0,0,"KRT5"
"26","ANXA2",0,1.62737528582961,0.731,0.298,0,0,"ANXA2"
"27","S100A14",0,1.38758687064037,0.758,0.326,0,0,"S100A14"
"28","PTN",0,1.49443919606525,0.545,0.116,0,0,"PTN"
"29","LMNA",0,2.07882784947113,0.57,0.143,0,0,"LMNA"
"30","CHI3L1",0,2.39130447868621,0.626,0.2,0,0,"CHI3L1"
"31","ITGA6",0,3.16626664456648,0.481,0.055,0,0,"ITGA6"
"32","RBP1",0,3.76877883418181,0.461,0.036,0,0,"RBP1"
"33","MT1E",0,2.35981522715358,0.533,0.11,0,0,"MT1E"
"34","KRT6B",0,2.90678166613471,0.501,0.089,0,0,"KRT6B"
"35","STK17A",0,3.91873774701208,0.441,0.03,0,0,"STK17A"
"36","ACTG1",0,1.24479038254122,0.897,0.49,0,0,"ACTG1"
"37","MIR205HG",0,0.923626310442087,0.669,0.282,0,0,"MIR205HG"
"38","S100A10",0,1.37591453548696,0.681,0.294,0,0,"S100A10"
"39","ITGA2",0,3.65828934868384,0.421,0.036,0,0,"ITGA2"
"40","ARPC2",0,2.93804044989831,0.437,0.057,0,0,"ARPC2"
"41","TESC",0,3.84906948524195,0.409,0.033,0,0,"TESC"
"42","PLAT",0,2.85948199051183,0.433,0.06,0,0,"PLAT"
"43","LIMA1",0,2.36453610061287,0.453,0.082,0,0,"LIMA1"
"44","ENO1",0,1.63939072282338,0.544,0.176,0,0,"ENO1"
"45","TXN",0,1.54390454104681,0.567,0.21,0,0,"TXN"
"46","TUBA1A",0,2.92940118264678,0.413,0.06,0,0,"TUBA1A"
"47","S100A16",0,1.42454402272486,0.578,0.242,0,0,"S100A16"
"48","RBBP8",0,2.6898078847996,0.39,0.062,0,0,"RBBP8"
"49","HSP90AB1",0,0.895155913515604,0.753,0.426,0,0,"HSP90AB1"
"50","HSP90B1",0,0.96553530209563,0.594,0.284,0,0,"HSP90B1"
"51","CLCA2",0,3.59731238132645,0.333,0.028,0,0,"CLCA2"
"52","GAPDH",0,0.537627000186542,0.811,0.509,0,0,"GAPDH"
"53","ITGA3",0,3.98767723547009,0.322,0.02,0,0,"ITGA3"
"54","PTMS",0,1.41377444008411,0.421,0.154,0,0,"PTMS"
"55","SLC20A1",0,3.67606243839883,0.289,0.025,0,0,"SLC20A1"
"56","CD63",0,0.274305693594506,0.748,0.5,0,0,"CD63"
"57","IGFBP6",0,4.14616926441942,0.259,0.013,0,0,"IGFBP6"
"58","S100A6",0,0.287038824054226,0.803,0.573,0,0,"S100A6"
"59","SPARC",3.45845952088873e-323,3.61462517568421,0.276,0.023,7.83029820124416e-319,0,"SPARC"
"60","A2M",3.22130801088493e-321,1.77190406398441,0.53,0.163,7.29336346744456e-317,0,"A2M"
"61","APOE",6.84774985135968e-321,2.12128503993874,0.509,0.105,1.55039904384634e-316,0,"APOE"
"62","ID3",3.53742616166882e-313,1.28107842164009,0.444,0.197,8.00908657263438e-309,0,"ID3"
"63","PLP2",1.21315445209153e-307,2.67399325186535,0.34,0.053,2.74670299498044e-303,0,"PLP2"
"64","TAGLN",2.60803135964837e-287,1.45293626197065,0.537,0.138,5.90484380137988e-283,0,"TAGLN"
"65","PPIB",1.42128658255877e-278,1.55588283520739,0.371,0.122,3.21793495157131e-274,0,"PPIB"
"66","ACTN1",4.67294680820054e-278,2.60705904836978,0.361,0.06,1.05800188684468e-273,0,"ACTN1"
"67","COL17A1",3.23745624258826e-271,3.25418356564438,0.273,0.029,7.32992467884408e-267,0,"COL17A1"
"68","CAMK2N1",2.31516647064016e-269,2.79565627995239,0.312,0.045,5.24176840617638e-265,0,"CAMK2N1"
"69","LY6E",4.24859784772966e-254,1.18451442317103,0.539,0.248,9.61925038704472e-250,0,"LY6E"
"70","PDIA6",8.08935353341761e-250,1.19307220158216,0.313,0.13,1.83151053350108e-245,0,"PDIA6"
"71","ADAMTS1",1.93047781746596e-248,2.84850915487055,0.315,0.046,4.37079482652468e-244,0,"ADAMTS1"
"72","ID1",3.54418107228229e-243,1.4114029997864,0.345,0.142,8.02438036575432e-239,0,"ID1"
"73","MYL9",4.84124626200478e-237,2.27614349374271,0.422,0.09,1.0961065661805e-232,0,"MYL9"
"74","PRNP",1.29579808964035e-231,2.70757753229889,0.304,0.046,2.93381645475473e-227,0,"PRNP"
"75","TPM1",7.21162724781526e-225,1.71588374842712,0.582,0.242,1.63278452517785e-220,0,"TPM1"
"76","CALR",2.46896223294144e-221,1.42295452934856,0.399,0.147,5.58997739160272e-217,0,"CALR"
"77","CFL1",1.0116986682614e-207,0.663326783509592,0.496,0.305,2.29058695481064e-203,0,"CFL1"
"78","GSTP1",1.01080636844061e-199,1.76132757288236,0.497,0.161,2.28856669878637e-195,0,"GSTP1"
"79","MARCKS",2.47934916715093e-189,2.34867402257074,0.312,0.061,5.61349444934642e-185,0,"MARCKS"
"80","CSRP1",2.72599356940956e-187,1.77030053090936,0.336,0.093,6.17192204050019e-183,0,"CSRP1"
"81","ID4",1.28579321079329e-186,1.69126559018099,0.593,0.19,2.91116440855708e-182,0,"ID4"
"82","RPL22L1",3.48612094632173e-182,2.29098999311605,0.267,0.056,7.89292643456704e-178,0,"RPL22L1"
"83","DUSP6",1.34171412423071e-181,2.330205803847,0.287,0.06,3.03777494867075e-177,0,"DUSP6"
"84","NME2",7.31951888176197e-179,0.584845862520545,0.586,0.39,1.65721227001973e-174,0,"NME2"
"85","IGFBP4",1.19810534972791e-175,2.24618011757445,0.299,0.06,2.71263032231896e-171,0,"IGFBP4"
"86","PKM",1.15859188462998e-173,0.414854337700977,0.388,0.267,2.62316788599073e-169,0,"PKM"
"87","RPS2",1.0106482799931e-169,0.528763482421296,0.974,0.895,2.28820877073238e-165,0,"RPS2"
"88","MIF",1.56115304182069e-166,0.540383947305486,0.672,0.458,3.53460660198621e-162,0,"MIF"
"89","ACTB",3.25594084446602e-161,0.801364278234112,0.766,0.445,7.37177566595551e-157,0,"ACTB"
"90","RPL28",4.4841257947193e-159,0.456620887399861,0.917,0.778,1.0152509211824e-154,0,"RPL28"
"91","RAN",1.77092930278318e-157,0.882312487177411,0.3,0.157,4.0095610344314e-153,0,"RAN"
"92","TNFRSF12A",9.1702140216741e-156,1.4100504580591,0.27,0.106,2.07622815664723e-151,0,"TNFRSF12A"
"93","PTMA",8.2600429830975e-141,0.841218519407107,0.722,0.478,1.8701563318031e-136,0,"PTMA"
"94","ITM2B",3.45113442188229e-133,0.629350491493859,0.38,0.242,7.81371344458368e-129,0,"ITM2B"
"95","PPP1R14B",1.50625141832725e-131,1.48958256682249,0.281,0.102,3.41030383623473e-127,0,"PPP1R14B"
"96","CD81",1.31343687512202e-130,1.10730290481192,0.277,0.132,2.97375242896377e-126,0,"CD81"
"97","PERP",3.05476562794642e-123,1.49259306069671,0.357,0.125,6.91629485823349e-119,0,"PERP"
"98","MYL12B",7.0633750041467e-120,0.525913469231319,0.345,0.221,1.59921873468885e-115,0,"MYL12B"
"99","RPL18A",9.4931552955397e-116,0.66920985108225,0.877,0.607,2.14934529046314e-111,0,"RPL18A"
"100","PDIA3",5.02618475205602e-115,0.982576113303412,0.268,0.129,1.137978489713e-110,0,"PDIA3"
"101","CD44",3.40362804762232e-111,1.23585304411614,0.313,0.132,7.70615426262169e-107,0,"CD44"
"102","ADIRF",1.18327436224483e-109,0.290742524107608,0.411,0.3,2.67905148355852e-105,0,"ADIRF"
"103","STMN1",1.89134206051027e-107,0.987327630093183,0.277,0.133,4.2821875592013e-103,0,"STMN1"
"104","TUBA1B",8.61982593668228e-106,0.941914392114675,0.359,0.199,1.95161479032423e-101,0,"TUBA1B"
"105","YBX1",9.06076371323263e-103,1.01912509119663,0.396,0.191,2.051447512313e-98,0,"YBX1"
"106","FBXO32",9.97603614727587e-101,1.59225611891425,0.344,0.113,2.25867434410473e-96,0,"FBXO32"
"107","RPSA",3.32592861743251e-97,0.610317764342442,0.681,0.434,7.53023498272895e-93,0,"RPSA"
"108","EIF4A1",5.84379516000211e-97,1.36429839416437,0.311,0.12,1.32309366217608e-92,0,"EIF4A1"
"109","APRT",1.25075950988904e-96,1.26467727731754,0.262,0.11,2.83184460633979e-92,0,"APRT"
"110","NNMT",9.22111099479535e-96,1.53629728044488,0.383,0.124,2.08775174033161e-91,0,"NNMT"
"111","RPS3",3.62434203239337e-93,0.5552066711581,0.927,0.74,8.20587279554184e-89,0,"RPS3"
"112","RPL8",2.36256927241117e-90,0.440501235046163,0.898,0.703,5.34909308966614e-86,0,"RPL8"
"113","HINT1",1.30094438914768e-84,0.391373962169623,0.407,0.273,2.94546819146925e-80,0,"HINT1"
"114","PFN1",1.00566156797339e-83,1.00072162987883,0.3,0.145,2.27691835604855e-79,0,"PFN1"
"115","TUBB",1.31394942860553e-82,0.705367773593267,0.271,0.161,2.97491290130579e-78,0,"TUBB"
"116","ACTA2",4.35087490387382e-79,0.745398003241353,0.283,0.112,9.85081586986073e-75,0,"ACTA2"
"117","RPL10A",5.13975324077533e-77,0.49102010353025,0.77,0.575,1.16369153124394e-72,0,"RPL10A"
"118","RPLP0",4.79474681349822e-76,0.484332035160384,0.838,0.641,1.08557862604413e-71,0,"RPLP0"
"119","RPL35",1.44590138302043e-75,0.696965268254622,0.616,0.367,3.27366532129656e-71,0,"RPL35"
"120","CALM1",6.67795933114005e-75,0.505266890731823,0.393,0.272,1.51195677216342e-70,0,"CALM1"
"121","RPL14",9.71610342550294e-75,0.296604749083765,0.732,0.571,2.19982297656812e-70,0,"RPL14"
"122","RPL10",5.92409318636197e-70,0.487425708156569,0.945,0.842,1.34127393832421e-65,0,"RPL10"
"123","RPS18",4.91832040745592e-60,0.425887820986018,0.964,0.89,1.11355692345209e-55,0,"RPS18"
"124","NCL",5.68894762222799e-58,1.0932196372524,0.366,0.181,1.28803463114864e-53,0,"NCL"
"125","EEF1B2",3.5075459236181e-57,0.734557226544564,0.485,0.285,7.94143472566374e-53,0,"EEF1B2"
"126","HMGB1",3.72704463506038e-55,0.573414770170365,0.375,0.253,8.4384017582402e-51,0,"HMGB1"
"127","RPL29",1.02985547653852e-48,0.271514901849859,0.723,0.581,2.33169578443087e-44,0,"RPL29"
"128","RPS7",1.30996688991577e-47,0.28553456382254,0.774,0.641,2.9658960354583e-43,0,"RPS7"
"129","RPL3",4.63926636736565e-41,0.58270292073909,0.869,0.665,1.05037629823526e-36,0,"RPL3"
"130","RPL17",7.37875551737165e-41,0.36266469365398,0.915,0.814,1.67062403668811e-36,0,"RPL17"
"131","RPS15",1.98928328619588e-38,0.260399643420175,0.734,0.576,4.5039362882761e-34,0,"RPS15"
"132","CEBPD",7.74362806487864e-36,0.359452722479022,0.27,0.168,1.75323483016917e-31,0,"CEBPD"
"133","RACK1",1.41629665208731e-32,0.346712388969205,0.595,0.45,3.20663724999089e-28,0,"RACK1"
"134","RPS25",1.48811007612637e-32,0.28213557307147,0.544,0.413,3.36923002335771e-28,0,"RPS25"
"135","RPL5",4.68956220534508e-32,0.298641785253692,0.756,0.614,1.06176377891218e-27,0,"RPL5"
"136","TPM4",2.91833851038639e-30,0.75280265210295,0.422,0.223,6.60741022136584e-26,0,"TPM4"
"137","RPL7A",1.19509865279348e-29,0.499604824930279,0.887,0.661,2.70582285978971e-25,0,"RPL7A"
"138","HNRNPA2B1",7.63070771999812e-20,0.529739681307093,0.305,0.214,1.72766853488477e-15,0,"HNRNPA2B1"
"139","TACSTD2",1.37563524163261e-18,0.416043997684236,0.387,0.252,3.11457575058039e-14,0,"TACSTD2"
"140","NPM1",5.98177268584485e-17,0.256787681610105,0.448,0.373,1.35433315380213e-12,0,"NPM1"
"141","RPL4",3.67284251734638e-14,0.453092097865066,0.344,0.245,8.31568274352393e-10,0,"RPL4"
"142","KTN1",2.79678931409552e-11,0.433997018650779,0.265,0.191,6.33221068604366e-07,0,"KTN1"
"143","RARRES1",0,3.27679698162179,0.928,0.203,0,1,"RARRES1"
"144","SFRP1",0,2.91516419465395,0.847,0.172,0,1,"SFRP1"
"145","LTF",0,4.33000499587158,0.738,0.082,0,1,"LTF"
"146","PABPC1",0,3.11119076251003,0.764,0.122,0,1,"PABPC1"
"147","AZGP1",0,2.01231926524119,0.778,0.223,0,1,"AZGP1"
"148","GABRP",0,4.68875098879533,0.568,0.024,0,1,"GABRP"
"149","SLC25A37",0,4.78154708550037,0.565,0.024,0,1,"SLC25A37"
"150","CLDN4",0,2.93534876109623,0.615,0.094,0,1,"CLDN4"
"151","KRT15",0,1.99801296166914,0.745,0.232,0,1,"KRT15"
"152","SLPI",0,2.96452618876388,0.57,0.07,0,1,"SLPI"
"153","WFDC2",0,2.58924601382282,0.661,0.168,0,1,"WFDC2"
"154","SOX9",0,3.43211873485962,0.546,0.058,0,1,"SOX9"
"155","S100A9",0,2.90474447166264,0.551,0.064,0,1,"S100A9"
"156","LCN2",0,3.11980383578519,0.554,0.068,0,1,"LCN2"
"157","SCGB2A2",0,2.27072384207395,0.563,0.082,0,1,"SCGB2A2"
"158","CX3CL1",0,3.60043656321204,0.528,0.056,0,1,"CX3CL1"
"159","CD59",0,1.82150752762873,0.727,0.258,0,1,"CD59"
"160","MGP",0,1.72339083227139,0.955,0.487,0,1,"MGP"
"161","ATP1A1",0,3.39023832358163,0.499,0.053,0,1,"ATP1A1"
"162","CD24",0,1.63740648430367,0.613,0.181,0,1,"CD24"
"163","TCN1",0,3.90063014961069,0.462,0.032,0,1,"TCN1"
"164","SLC12A2",0,4.00739590681554,0.446,0.035,0,1,"SLC12A2"
"165","SAT1",0,1.76161137466982,0.609,0.201,0,1,"SAT1"
"166","ELF3",0,2.49631621531034,0.48,0.094,0,1,"ELF3"
"167","PODXL",0,5.24238001718555,0.39,0.011,0,1,"PODXL"
"168","ALDH1A3",0,3.90256019240831,0.399,0.026,0,1,"ALDH1A3"
"169","KRT23",0,2.86558711352143,0.428,0.059,0,1,"KRT23"
"170","PLA2R1",0,5.0183128962888,0.377,0.013,0,1,"PLA2R1"
"171","SERPINA3",0,1.12777507537643,0.636,0.273,0,1,"SERPINA3"
"172","TPT1-AS1",0,3.93785300807574,0.387,0.025,0,1,"TPT1-AS1"
"173","APP",0,2.27592064398446,0.446,0.096,0,1,"APP"
"174","LDLR",0,2.71085746699975,0.423,0.075,0,1,"LDLR"
"175","SNORC",0,4.06738615113336,0.365,0.023,0,1,"SNORC"
"176","SAA2",0,3.70990629967762,0.37,0.035,0,1,"SAA2"
"177","MFGE8",0,3.47312375665487,0.374,0.043,0,1,"MFGE8"
"178","EHF",0,3.93013836748328,0.353,0.023,0,1,"EHF"
"179","DBI",0,1.33557126079502,0.584,0.257,0,1,"DBI"
"180","ELF5",0,4.71165577565354,0.323,0.012,0,1,"ELF5"
"181","STAC2",0,4.44125193823959,0.329,0.02,0,1,"STAC2"
"182","SLC26A2",0,5.21178082135907,0.318,0.011,0,1,"SLC26A2"
"183","RPS16",0,1.11894153898243,0.849,0.543,0,1,"RPS16"
"184","RPL23",0,1.21850007993995,0.815,0.512,0,1,"RPL23"
"185","OLFM4",0,5.14728708310458,0.314,0.013,0,1,"OLFM4"
"186","NCALD",0,5.09035371268048,0.297,0.009,0,1,"NCALD"
"187","ITPR2",0,3.14160084193322,0.321,0.038,0,1,"ITPR2"
"188","DEFB1",0,4.17752855577881,0.295,0.019,0,1,"DEFB1"
"189","TC2N",0,4.4448232770718,0.282,0.013,0,1,"TC2N"
"190","RPS6",0,1.11041977716478,0.929,0.662,0,1,"RPS6"
"191","SCGB1D2",0,4.31463492250572,0.282,0.015,0,1,"SCGB1D2"
"192","MT-ND1",0,0.836931572062983,0.739,0.483,0,1,"MT-ND1"
"193","MT-ND3",0,0.286017661706213,0.793,0.575,0,1,"MT-ND3"
"194","MT-ND4",0,0.898299464782719,0.976,0.795,0,1,"MT-ND4"
"195","MT-ATP6",0,0.810473471531782,0.973,0.863,0,1,"MT-ATP6"
"196","MT-CO2",0,0.806213322140842,0.993,0.886,0,1,"MT-CO2"
"197","MT-CO1",0,1.02158580969374,0.994,0.895,0,1,"MT-CO1"
"198","EEF1A1",0,0.85947086620554,0.982,0.887,0,1,"EEF1A1"
"199","TPT1",0,0.686467643853462,0.97,0.923,0,1,"TPT1"
"200","ARL4C",4.55034459819788e-321,2.96044317504223,0.356,0.049,1.03024352047798e-316,1,"ARL4C"
"201","RPLP2",1.14159278478573e-315,1.07886587529736,0.789,0.443,2.58468022403338e-311,1,"RPLP2"
"202","RPS20",5.62427227661147e-315,1.12811741256389,0.714,0.394,1.2733914861476e-310,1,"RPS20"
"203","RHOV",7.46636898735682e-302,3.26334442890108,0.284,0.029,1.69046060242746e-297,1,"RHOV"
"204","SAA1",2.29952208452537e-300,2.9368707412518,0.407,0.079,5.20634795157389e-296,1,"SAA1"
"205","PHLDA1",4.25368703937123e-297,2.93735181311481,0.306,0.042,9.6307728258404e-293,1,"PHLDA1"
"206","PPP1CB",3.56700681787977e-293,3.02645096573247,0.272,0.034,8.07606013636159e-289,1,"PPP1CB"
"207","MT-ND2",1.77286949048808e-291,0.581827317947219,0.693,0.477,4.01395381341406e-287,1,"MT-ND2"
"208","EGR3",1.87057551011186e-279,2.57589724547401,0.393,0.075,4.23517001244427e-275,1,"EGR3"
"209","CLDN3",2.96846146727584e-275,2.32595648456749,0.255,0.051,6.72089360805923e-271,1,"CLDN3"
"210","MT-CO3",1.67719917527633e-272,0.730402203156261,0.964,0.843,3.79734665274313e-268,1,"MT-CO3"
"211","RPL7",3.96159386565533e-271,0.992935647799425,0.76,0.475,8.96944467123023e-267,1,"RPL7"
"212","RPS27A",1.93626429819815e-270,0.601119960965339,0.942,0.823,4.38389599755044e-266,1,"RPS27A"
"213","NAP1L1",1.98614555483411e-268,1.20167899059746,0.496,0.219,4.49683215069992e-264,1,"NAP1L1"
"214","NCOA7",3.25418117627588e-263,1.72389994325928,0.502,0.129,7.36779160120621e-259,1,"NCOA7"
"215","TRIB1",8.16237675413788e-258,2.98916452796916,0.27,0.036,1.84804372090436e-253,1,"TRIB1"
"216","EDN1",2.20814505493612e-257,2.95276329938392,0.307,0.046,4.99946121888088e-253,1,"EDN1"
"217","TM4SF1",9.99793339597426e-251,1.25642160389839,0.499,0.217,2.26363210018253e-246,1,"TM4SF1"
"218","RPL31",2.33274650856271e-250,1.52306749325159,0.522,0.201,5.28157137003683e-246,1,"RPL31"
"219","RPL21",5.33677528041861e-246,0.841703762905218,0.855,0.609,1.20829929123958e-241,1,"RPL21"
"220","IER5",1.72682529365957e-243,2.73777348564345,0.266,0.04,3.90970514737463e-239,1,"IER5"
"221","ERRFI1",4.87969311292597e-239,3.16438680083985,0.254,0.03,1.10481131769757e-234,1,"ERRFI1"
"222","HMGCS1",9.39655049280753e-239,2.51276875790919,0.312,0.062,2.12747299707655e-234,1,"HMGCS1"
"223","MT-ND5",1.85222283408235e-238,0.539208895390223,0.671,0.436,4.19361771864586e-234,1,"MT-ND5"
"224","WEE1",1.28962315355533e-237,2.81702636367422,0.277,0.042,2.91983578196462e-233,1,"WEE1"
"225","ZFP36L1",4.88649529976061e-234,1.83445555690961,0.417,0.133,1.1063514008188e-229,1,"ZFP36L1"
"226","SNHG29",6.69001519586956e-231,1.39425811293086,0.564,0.23,1.51468634049683e-226,1,"SNHG29"
"227","RPL37",7.01315608229705e-226,0.826720718260047,0.68,0.407,1.58784866859287e-221,1,"RPL37"
"228","RPL22",8.49083101519809e-220,0.928346591992287,0.592,0.313,1.922409050151e-215,1,"RPL22"
"229","NFIB",3.88966765769547e-217,2.26104226503395,0.387,0.086,8.80659654378832e-213,1,"NFIB"
"230","TKT",1.1092427738875e-214,1.2710113168686,0.418,0.193,2.51143656435868e-210,1,"TKT"
"231","RPS11",6.53440115661156e-214,0.986990834799197,0.712,0.452,1.47945376586842e-209,1,"RPS11"
"232","RPS29",4.15905145544186e-213,1.14938658639785,0.602,0.283,9.41650840026591e-209,1,"RPS29"
"233","RPL23A",1.12675583201487e-206,0.897635752625101,0.729,0.455,2.55108787926487e-202,1,"RPL23A"
"234","RPL18",7.0747334010236e-205,0.732213472350952,0.864,0.715,1.60179038932575e-200,1,"RPL18"
"235","RPL13A",2.21117146640439e-204,0.918158750683336,0.905,0.69,5.00631331708618e-200,1,"RPL13A"
"236","RPS12",2.00265004946079e-193,0.585294684275219,0.95,0.865,4.53419997698416e-189,1,"RPS12"
"237","RPS17",2.43532297737167e-189,1.08377283579985,0.627,0.344,5.51381475306721e-185,1,"RPS17"
"238","RPL9",1.51638438732804e-188,0.627467955391938,0.852,0.678,3.43324589134941e-184,1,"RPL9"
"239","EPCAM",1.60448571025913e-188,1.87539436734574,0.264,0.073,3.6327160965977e-184,1,"EPCAM"
"240","ZFAS1",1.65949984306413e-188,1.25233649476074,0.333,0.122,3.7572735946815e-184,1,"ZFAS1"
"241","RPS13",2.52719908057643e-186,0.670833948759082,0.794,0.586,5.7218314383331e-182,1,"RPS13"
"242","TSC22D1",1.40812087688445e-181,1.8474986741906,0.329,0.103,3.18812647735409e-177,1,"TSC22D1"
"243","MT-CYB",1.63807303213732e-176,0.598299487852175,0.941,0.834,3.70876115206211e-172,1,"MT-CYB"
"244","EIF4B",7.24081344132362e-172,1.93060368199045,0.276,0.072,1.63939257125008e-167,1,"EIF4B"
"245","EEF2",1.11375438055332e-170,1.6500570483669,0.428,0.14,2.52165129301077e-166,1,"EEF2"
"246","RPS19",5.78796876538465e-170,0.712854414978413,0.941,0.791,1.31045400817074e-165,1,"RPS19"
"247","KRT7",1.62465773229618e-162,0.80004052957678,0.527,0.321,3.67838757169178e-158,1,"KRT7"
"248","GAS5",6.65430452177622e-162,0.953269864595245,0.543,0.265,1.50660108677535e-157,1,"GAS5"
"249","RPL34",3.76527050899965e-158,0.584953031872067,0.771,0.561,8.5249489594261e-154,1,"RPL34"
"250","PLK2",3.71514914285148e-157,0.966431138895638,0.378,0.197,8.41146917433004e-153,1,"PLK2"
"251","RPS23",1.76522302777633e-154,0.525464101669139,0.909,0.821,3.99664145718839e-150,1,"RPS23"
"252","BTG1",1.12615919284032e-137,1.65513303668401,0.35,0.129,2.54973702850978e-133,1,"BTG1"
"253","RPL37A",4.86890454645806e-132,1.01061441768176,0.757,0.431,1.10236867836357e-127,1,"RPL37A"
"254","RPL26",2.15995524506292e-130,0.81219775393963,0.861,0.656,4.89035467034695e-126,1,"RPL26"
"255","RPS3A",4.2710162809693e-130,0.579879023378738,0.918,0.814,9.6700079617426e-126,1,"RPS3A"
"256","RCAN1",5.50637344807509e-129,2.10143471204229,0.257,0.067,1.24669801237868e-124,1,"RCAN1"
"257","COX7C",6.18991515013581e-127,0.270000197229616,0.388,0.307,1.40145868914225e-122,1,"COX7C"
"258","MYC",4.22464148558067e-123,2.11325674112009,0.261,0.061,9.56501078750319e-119,1,"MYC"
"259","MT-ND4L",7.07427251363126e-122,0.992002308257501,0.286,0.146,1.60168603981125e-117,1,"MT-ND4L"
"260","FOSB",2.70817058231356e-119,1.70777145371039,0.36,0.108,6.13156901541613e-115,1,"FOSB"
"261","SNHG8",2.33857093157953e-117,1.24163707797846,0.273,0.11,5.2947584461892e-113,1,"SNHG8"
"262","ATF3",1.5825080350846e-110,1.6012159198893,0.37,0.131,3.58295644223504e-106,1,"ATF3"
"263","RPL39",2.25395473782164e-107,0.490687733102645,0.7,0.517,5.10317892190197e-103,1,"RPL39"
"264","RPL36A",1.43892452747104e-105,0.79558153567183,0.534,0.306,3.25786902264719e-101,1,"RPL36A"
"265","RPS21",3.13413614406029e-104,0.766996209673178,0.511,0.302,7.09599764376691e-100,1,"RPS21"
"266","RPS24",9.82673845196476e-104,0.46366018184533,0.906,0.81,2.22487185290934e-99,1,"RPS24"
"267","S100B",2.16256274708937e-103,2.02885758759576,0.252,0.062,4.89625831568505e-99,1,"S100B"
"268","RPL27A",4.95923196933719e-103,0.737313001783697,0.781,0.552,1.12281971017763e-98,1,"RPL27A"
"269","RPS14",2.02049605422755e-102,0.505421056993672,0.952,0.865,4.57460511637659e-98,1,"RPS14"
"270","CAST",4.4165296962966e-102,1.25753463384393,0.305,0.136,9.99946488538512e-98,1,"CAST"
"271","IER3",5.37642088637846e-96,0.995635907951393,0.45,0.25,1.21727545288495e-91,1,"IER3"
"272","LGALS3",2.78628904872048e-94,0.60673872978784,0.269,0.185,6.30843703520805e-90,1,"LGALS3"
"273","VMP1",1.53075023975707e-90,1.20234213571317,0.297,0.138,3.46577161783398e-86,1,"VMP1"
"274","EGR1",2.59030135789569e-83,1.14380853480973,0.421,0.173,5.86470130441163e-79,1,"EGR1"
"275","PHLDA2",5.38172247010073e-83,0.454621973052931,0.379,0.265,1.21847578445551e-78,1,"PHLDA2"
"276","ZFP36L2",1.30498420459632e-81,1.52046874393642,0.333,0.133,2.95461473762652e-77,1,"ZFP36L2"
"277","PIK3R1",1.35283414774112e-79,1.44265885812045,0.351,0.149,3.06295179390066e-75,1,"PIK3R1"
"278","RPS9",1.22514436543895e-76,0.61418090872151,0.818,0.638,2.77384935779032e-72,1,"RPS9"
"279","RPL12",3.1494513042985e-75,0.430435454388382,0.78,0.712,7.13067269806222e-71,1,"RPL12"
"280","HES1",1.11590084386973e-72,1.00478718548508,0.438,0.221,2.52651110060545e-68,1,"HES1"
"281","RPL19",3.01057180191038e-72,0.369277147715095,0.8,0.748,6.81623561670529e-68,1,"RPL19"
"282","RPL38",1.82725919877298e-65,0.461940454465955,0.326,0.23,4.13709755194191e-61,1,"RPL38"
"283","RPS8",7.94966118158444e-63,0.478060158268484,0.908,0.895,1.79988278812253e-58,1,"RPS8"
"284","ATP5MC2",1.03754908358716e-61,0.614017998792286,0.277,0.182,2.34911488014969e-57,1,"ATP5MC2"
"285","TACSTD21",1.14669064239102e-61,0.824677321109034,0.459,0.241,2.59622228343751e-57,1,"TACSTD2"
